Aarnet,6104681.92596,19,7
Abilene,4829036.03362,11,6
Agis,7621151.54636,25,14
Ans,8915958.19251,18,9
Arnes,255222.114982,34,1
Arpanet196912,1480960.41546,4,2
Arpanet19706,4740917.0821,9,3
Arpanet19719,5333062.68156,18,5
Arpanet19723,6185035.61322,25,8
Arpanet19728,5070464.7774,29,9
Atmnet,5929252.3427,21,8
AttMpls,4820148.02292,25,7
Bbnplanet,5244411.56361,27,8
Bellcanada,9122316.35064,48,13
Belnet2007,333364.355879,21,1
Belnet2008,333364.355879,21,1
Belnet2009,333364.355879,21,1
Bics,4197152.18954,33,11
Claranet,2923439.49501,15,5
CrlNetworkServices,8934374.89869,33,11
Darkstrand,5465809.16683,28,10
Dataxchange,3941306.13693,6,4
Digex,5479702.47881,31,10
EliBackbone,5079022.61899,20,8
Epoch,3974379.41943,6,5
Fccn,2423774.735,23,3
Garr199901,1394386.09451,16,2
Gblnet,2884183.39917,8,2
Geant2001,6954987.29147,27,11
Geant2009,5741097.8381,34,15
Geant2010,5789273.44593,37,14
Getnet,5077559.96902,7,4
Globalcenter,4076034.90881,9,7
Goodnet,4748660.12713,17,11
Gridnet,4306639.08252,9,5
Heanet,406131.474116,7,1
Highwinds,15473093.9924,18,10
HostwayInternational,20942873.5743,16,9
HurricaneElectric,29132981.3249,24,13
Ibm,6270283.59695,18,9
Integra,4422786.42488,27,10
Internetmci,5198296.56607,19,9
Iris,861165.578948,51,1
Itnet,475622.992707,11,1
KentmanJul2005,107615.921398,16,1
Kreonet,522741.005506,13,1
Layer42,5231456.96685,6,4
Mren,137029.686165,6,1
Napnet,4254828.31067,6,5
Navigata,6478989.33262,13,8
Netrail,4395322.9335,7,5
NetworkUsa,1175437.41442,35,2
Noel,748465.824749,19,1
Nsfnet,5050051.31289,13,8
Oxford,473102.360526,20,1
Packetexchange,29215681.1038,21,14
Palmetto,617349.927698,45,1
Peer1,14690753.0184,16,10
Psinet,7094219.99711,24,10
Quest,15908852.6654,20,13
Rediris,2319072.55462,19,4
Renater1999,1830012.26581,24,3
Renater2001,1343220.6217,24,2
Sago,1010202.10009,18,2
Sanren,1571749.0695,7,2
Savvis,4833162.68748,19,7
Spiralight,570384.349183,15,1
Sprint,4753844.4704,11,7
Surfnet,396071.864044,50,1
Telecomserbia,385846.081609,6,1
Uninett2010,2497592.9956,74,4
Xeex,24003027.4189,24,13
Xspedius,4490398.29221,34,10
York,733544.136619,23,1
