Topology,Number of Routers,Incremental Greedy method,Network-partition-based method,Primal-dual-based method
KentmanJul2005,16,1,1,1
Arnes,34,1,1,1
Surfnet,50,1,1,1
Palmetto,45,1,1,1
Belnet2007,21,1,1,1
Belnet2008,21,1,1,1
Belnet2009,21,1,1,1
Iris,51,1,1,1
Mren,6,1,1,1
Oxford,20,1,1,1
York,23,1,1,1
NetworkUsa,35,2,2,2
Uninett2010,74,4,4,4
Spiralight,15,1,1,1
Noel,19,1,1,1
Kreonet,13,1,1,1
Itnet,11,1,1,1
Renater2001,24,3,3,2
Sago,18,1,1,2
Heanet,7,1,1,1
Telecomserbia,6,1,1,1
Renater1999,24,3,3,3
Garr199901,16,2,2,2
Fccn,23,3,3,3
Rediris,19,2,3,4
Bics,33,10,11,11
Xspedius,34,10,11,10
Geant2010,37,14,17,14
Integra,27,7,7,10
Geant2009,34,14,17,15
Arpanet19728,29,8,9,9
Digex,31,8,10,10
Bellcanada,48,11,13,13
AttMpls,25,7,8,7
Bbnplanet,27,8,10,8
Claranet,15,5,4,5
Darkstrand,28,8,10,10
Sanren,7,3,3,2
Arpanet19723,25,7,8,8
EliBackbone,20,7,8,8
Savvis,19,7,8,7
Geant2001,27,11,15,11
CrlNetworkServices,33,9,9,11
Internetmci,19,8,10,9
Goodnet,17,10,11,11
Atmnet,21,8,10,8
Psinet,24,8,12,10
Arpanet19719,18,5,5,5
Agis,25,10,11,14
Aarnet,19,7,7,7
Ibm,18,8,12,9
Gblnet,8,2,4,2
Arpanet196912,4,2,2,2
Nsfnet,13,8,9,8
Sprint,11,6,8,7
Abilene,11,6,8,6
Globalcenter,9,7,7,7
Gridnet,9,5,5,5
Ans,18,9,10,9
Navigata,13,7,7,8
Arpanet19706,9,3,3,3
Netrail,7,5,5,5
Dataxchange,6,4,4,4
Epoch,6,5,5,5
Napnet,6,5,5,5
Getnet,7,4,4,4
Quest,20,13,13,13
Highwinds,18,9,11,10
Layer42,6,4,5,4
Peer1,16,10,11,10
Xeex,24,11,13,13
HurricaneElectric,24,12,13,13
HostwayInternational,16,9,11,9
Packetexchange,21,13,14,14
